Target Language;Target Word;Ariya Source Word;Definition;Tavernier 2007 Page Number;Variants;Type;Transmission;;Med;M edian
Aramaic;Dpny;*Dafnya;Person to be Mistrated;447-448;;Jurdicial Expression;Indirect;;;
Aramaic; Dwškrt;*Duškṛta;Crime, Ill Done;448;;Jurdicial Expression;Indirect;;;
Aramaic;Nprt;*Niparta;Litigation, Legal Proceedings;448;;Jurdicial Expression;Indirect;;;
Aramaic;Srwšyt;*Sraušyatā;Corporal Punishment;448;;Jurdicial Expression;Indirect;;;
Elamite;Mi-bu-uk-da;*Vibuxtā;Release;448;Mi-bu-uk-taš;Jurdicial Expression;Indirect;;;
Elamite;Da-du-ia;*Daθv(i)ya;1/10 Bán;448;;Metrological Expression;Indirect;;;
Elamite;Ik-ri-ma;*Grīva;Bushel;448-449;Ik-ri-maš, Ki-ri-ma, Kur-ri-ma, Kur-ri-maš, +;Metrological Expression;Indirect;;;
Demotic;Kpḏ;*Kapiča;Holder, Something Containing;449;;Metrological Expression;Indirect;;;
Aramaic;Mry;*Mari-;Jar, Pitcher;449;;Metrological Expression;Indirect;;;
Elamite;Mar-ri(-iš);*Mari-;Jar, Pitcher;449;;Metrological Expression;Indirect;;;
Aramaic; 'Rdb;*Ṛdba (Ṛdva, North Iranian);Artabe;449;;Metrological Expression;Indirect;;;
Babylonian;Ar-da-bi;*Ṛdba (Ṛdva, North Iranian);Artabe;449;;Metrological Expression;Indirect;;;
Elamite;Ir-du-ba(-am/-um);*Ṛdba (Ṛdva, North Iranian);Artabe;449-450;Ir-ti-ba;Metrological Expression;Indirect;;;
Elamite;Ir-du-ma(-am/-um);*Ṛdva;Artabe;450;;Metrological Expression;Indirect;;;
Elamite;Za-iš-ma-kaš;*Čaç(uš)vaka-;1/4 Shekel;450;;Metrological (Fractional);Indirect;;;
Elamite;Da-na-ka4(-um);*Dānāka;1/8 Shekel;450;Da-na-kaš;Metrological (Fractional);Indirect;;;
Elamite;Da-sa-mak-kaš;*Daθauvaka;1/10 Kạrša;450;;Metrological (Fractional);Indirect;;;
Elamite;Ba-su-ka;*Pančuka;5 Units, 1 Shekel;450-451;Pan-su-kaš;Metrological (Fractional);Indirect;;;
Elamite;Mi-iš-du-mak-kaš ;*Vīstōvaka;1/20 Kạrša;451;;Metrological (Fractional);Indirect;;;
Elamite;Da-sa-ba(-um);*Daθapa;Decury;451;;Military Expression;Indirect;;;
Babylonian;An-de-e-su;*Handēsa;Muster, Mobilise;451;;Military Expression;Indirect;;;
Aramaic;Hndyz;*Handaiza (Med);Garrisoned;451;Hndz;Military Expression;Indirect;;;
Babylonian;Pa-sa-'-du;*Passāda;Millitary Equiptment;451-452;;Military Expression;Indirect;;;
Elamite;Sa-da-ba(-an/-um);*Θatapa;Century, Group of One Hundred;452;Sa-tuk-ba(-um);Military Expression;Indirect;;;
Aramaic;Ywz;*Yauza (Med);Revolt, Turmoil, Rebellion;452;tar-na-ba-zí(-iš), Tur-na-ba-iz-zí-(iš), +;Military Expression;Indirect;;;
Elamite;Tar-na-ba-kaš;*Dṛnabājiš;5th Month;452;;Month Name;Indirect;;;
Elamite;Tar-na-ba-[zí]-ia-š;*Dṛnabājiya (Dṛnabāji);5th Month;452;Tur-na-ba-iz-zí-ia-iš, Tur-na-ba-zí-iš;Month Name;Indirect;;;
Elamite;Ha-mi-ia-maš;*Θavayhvā;11th Month;452-453;Ha-mi-ma, Sa-me-ia-ma-iš, +;Month Name;Indirect;;;
Elamite;Sa-me-man-taš;*Θavayahvanta;12th Month;453-454;Sa-mi-ia-man-da, Sa-mi-ia-man-ti, +;Month Name;Indirect;;;
Elamite;Ma-ir-ka4-šá-na-iš;*Vṛkažana;8th Month;454;Mar^ir^-ka4-šá-na-iš, +;Month Name;Indirect;;;
Elamite;Áš-du-maš;*Aštōva;1/8th;455;;Numeral;Indirect;;;
Elamite;Za-áš-maš;*Čaçu(š)va;1/4th;455;Za-iš-šu-iš-maš, Za-iš-šu-iš-maš, +;Numeral;Indirect;;;
Elamite;Ši-iš-du-ia-iš;*Čistōya;1/30th;455;;Numeral;Indirect;;;
Elamite;Ši-iš-maš;*Čišva;1/3rd;455;Ši-iš-maš, Ši-šu-maš;Numeral;Indirect;;;
Elamite;Da-sa-maš;*Daθahva;1/10th;455;;Numeral;Indirect;;;
Elamite;Nu-ma-u-maš;*Navauva;1/9th;455;;Numeral;Indirect;;;
Elamite;Pan-su-ma-iš;*Pančōva;1/5th;455;;Numeral;Indirect;;;
Elamite;Mi-iš-du-ia;*Vīstōya;1/20th;456;;Numeral;Indirect;;;
Aramaic;B't;*Bāta;Wine;456;;Nutritional Expression;Indirect;;;
Aramaic;Dwg;*Dūga;Yoghurt;456;;Nutritional Expression;Indirect;;;
Elamite;Ku-da-ge-na;*Gōdakēna;Sweet Thing Made of Walnuts;456;;Nutritional Expression;Indirect;;;
Elamite;Ma-ri-ia-um;*(H)uvarya;(Xvarya);456;;Nutritional Expression;Indirect;;;
Elamite;Ha-mar(-am/-áš);*Hvara;A Type of Grain Product;456;Ha-ma-ra(-um), Ha-mar-ra(-iš/-um), +;Nutritional Expression;Indirect;;;
Elamite;Ka4-ir;*Kāra;Grain;456;;Nutritional Expression;Indirect;;;
Elamite;Ma-du-ka;*Maduka;Honey;456-457;Ma-du-uk-ka4;Nutritional Expression;Indirect;;;
Elamite;Mi-ig-tam6-ma-ri-ia-um;*Migdauvarya;Fruit Porridge;457;;Nutritional Expression;Indirect;;;
Elamite;Ba-nu-ra;*Panīra;Cheese;457;;Nutritional Expression;Indirect;;;
Babylonian;Pa-ḫa-se-e-mu-nu;*Paxsēmna;Cooked, Ripened;457;;Nutritional Expression;Indirect;;;
Elamite;Pi-iš-da;*Pista;Flour;457;;Nutritional Expression;Indirect;;;
Elamite;Sa-mar;*Θavar;Sour;457;Sa-u-ir, Sa-u-mar, Sa-u-ri, Sa-u-ur;Nutritional Expression;Indirect;;;
Elamite;Mi-ri-zí-iš;*Vrīziš;Rice;457;Ru-mi-zí-iš;Nutritional Expression;Indirect;;;
Elamite;Ku-ir-ra-um;*Xvara;Bread;457;;Nutritional Expression;Indirect;;;
Elamite;Ku-ir-ka-ráš;*Xvarakara;The Baking of The Bread;457-458;;Nutritional Expression;Indirect;;;
Elamite;Ku-ir-ri-um;*Xvarī;Hot Food;458;Ku-ri-um, Kur-ri-um;Nutritional Expression;Indirect;;;
Elamite;Kur-ru-sa(-am/-an/-um);*Xvaθa;Food, Barley;458;Ku-ru-šá(-am);Nutritional Expression;Indirect;;;
Elamite;He-ia-mi-ia-iš;*Yavya;Barley;458;;Nutritional Expression;Indirect;;;
Elamite;Ha-da-at-ti;*Ādātiš;Āzātiš;458;Ha-da-ti-iš;Plant, Fruit or Vegtable;Indirect;;;
Babylonian;As-pa-as-ti;*Aspastiš;Medicago Sativa;458-459;As-pa-as-ta4, As-pa-sa-tu4;Plant, Fruit or Vegtable;Indirect;;;
Elamite;Ha-za-ti(-iš);*Āzātiš;Very Good Grain, Wheat;459;;Plant, Fruit or Vegtable;Indirect;;;
Elamite;Ha-a-ia(-um);*Bahya;Quince;459;;Plant, Fruit or Vegtable;Indirect;;;
Aramaic;Drḥt;*Draxta;Tree;459;;Plant, Fruit or Vegtable;Indirect;;;
Aramaic;Gzr;*Gazara;Carrot;459;;Plant, Fruit or Vegtable;Indirect;;;
Elamite;Ku-ti-iz-za;*Gōdiča;Prune;459;;Plant, Fruit or Vegtable;Indirect;;;
Elamite;Ku-ud-da-ka4-har;*Kutakāra;Grain of Minor Quality;459;;;Indirect;;;
;;*;;459;;;Indirect;;;
;;*;;459;;;Indirect;;;
;;*;;459;;;Indirect;;;
;;*;;;;;Indirect;;;
;;*;;;;;Indirect;;;
;;*;;;;;Indirect;;;
;;*;;;;;Indirect;;;
;;*;;;;;Indirect;;;
;;*;;;;;Indirect;;;
;;*;;;;;Indirect;;;
;;*;;;;;Indirect;;;
;;*;;;;;Indirect;;;
;;*;;;;;Indirect;;;
;;*;;;;;Indirect;;;
